id,school,year,county,district,funding,immune,enrollments,proportion
6014138,CALIFORNIA ELEMENTARY,2015,Los Angeles,Hacienda La Puente Unified,Public,46,46,1
6111322,DISCOVERY ELEM,2005,San Diego,Chula Vista Elementary,Public,107,109,0.981651376
6056030,SUNSET ELEMENTARY,2013,Ventura,Ventura Unified,Public,40,59,0.677966102
6012322,LAUREL STREET ELEM,2001,Los Angeles,Compton Unified,Public,52,78,0.666666667
7019250,KINDER-CARE #979,2002,Sonoma,Cotati-rohnert Park Unified,Private,11,12,0.916666667
7017650,COAST CHRTN-REDONDO B,2001,Los Angeles,Redondo Beach Unified,Private,39,39,1
6007744,RIDGEWOOD ELEMENTARY,2014,Humboldt,Cutten Elementary,Public,89,105,0.847619048
6962971,OUR LADY OF THE ROSAR,2005,Los Angeles,Paramount Unified,Private,27,27,1
6043160,PIFER (WINFRED) ELEM.,2012,San Luis Obispo,Paso Robles Joint Unified,Public,80,91,0.879120879
6053565,LOS MOLINOS ELEM,2007,Tehama,Los Molinos Unified,Public,42,44,0.954545455
6053987,LINCOLN ELEM,2002,Tulare,Dinuba Unified,Public,80,80,1
6018725,PLAINVIEW AVE ELEM,2007,Los Angeles,Los Angeles Unified,Public,39,49,0.795918367
6120596,TORREY HILLS,2009,San Diego,Del Mar Union Elementary,Public,95,102,0.931372549
6013684,FREMONT (JOHN C.) ELE,2009,Los Angeles,Glendale Unified,Public,71,79,0.898734177
6036586,SMILEY ELEM,2004,San Bernardino,Redlands Unified,Public,90,92,0.97826087
6965073,OUR LADY OF FATIMA PARISH SCHOOL,2015,Orange,NANA,Private,20,32,0.625
7090194,VALLEY SCHOOL,2007,Kern,Kern High,Private,15,15,1
6017719,KENTWOOD,2006,Los Angeles,Los Angeles Unified,Public,31,40,0.775
6040372,PEPPER DRIVE ELEM,2002,San Diego,Santee,Public,66,72,0.916666667
6001150,SHEPHERD ELEM,2005,Alameda,Hayward Unified,Public,118,120,0.983333333
6107205,PINE TREE ELEM.,2008,Los Angeles,Sulphur Springs Union,Public,65,84,0.773809524
6034573,GRAND OAKS ELEMENTARY,2015,Sacramento,San Juan Unified,Public,31,32,0.96875
6963417,ST ANTHONY ELEM,2003,Los Angeles,Long Beach Unified,Private,18,28,0.642857143
6010565,AVENAL ELEMENTARY,2015,Kings,Reef-sunset Unified,Public,120,120,1
6030472,HOLDER ELEM,2001,Orange,Savanna Elementary,Public,85,90,0.944444444
