Name,Survived,Class,Sex,Age,Family_Members_Aboard,Fare
Mr. Owen Harris Braund,No,3,male,22,1,7.25
Mrs. John Bradley (Florence Briggs Thayer) Cumings,Yes,1,female,38,1,71.2833
Miss. Laina Heikkinen,Yes,3,female,26,0,7.925
Mrs. Jacques Heath (Lily May Peel) Futrelle,Yes,1,female,35,1,53.1
Mr. William Henry Allen,No,3,male,35,0,8.05
Mr. James Moran,No,3,male,27,0,8.4583
Mr. Timothy J McCarthy,No,1,male,54,0,51.8625
Master. Gosta Leonard Palsson,No,3,male,2,4,21.075
Mrs. Oscar W (Elisabeth Vilhelmina Berg) Johnson,Yes,3,female,27,2,11.1333
Mrs. Nicholas (Adele Achem) Nasser,Yes,2,female,14,1,30.0708
Miss. Marguerite Rut Sandstrom,Yes,3,female,4,2,16.7
Miss. Elizabeth Bonnell,Yes,1,female,58,0,26.55
Mr. William Henry Saundercock,No,3,male,20,0,8.05
Mr. Anders Johan Andersson,No,3,male,39,6,31.275
Miss. Hulda Amanda Adolfina Vestrom,No,3,female,14,0,7.8542
Mrs. (Mary D Kingcome) Hewlett,Yes,2,female,55,0,16
Master. Eugene Rice,No,3,male,2,5,29.125
Mr. Charles Eugene Williams,Yes,2,male,23,0,13
Mrs. Julius (Emelia Maria Vandemoortele) Vander Planke,No,3,female,31,1,18
Mrs. Fatima Masselmani,Yes,3,female,22,0,7.225
Mr. Joseph J Fynney,No,2,male,35,0,26
Mr. Lawrence Beesley,Yes,2,male,34,0,13
Miss. Anna McGowan,Yes,3,female,15,0,8.0292
Mr. William Thompson Sloper,Yes,1,male,28,0,35.5
Miss. Torborg Danira Palsson,No,3,female,8,4,21.075
Mrs. Carl Oscar (Selma Augusta Emilia Johansson) Asplund,Yes,3,female,38,6,31.3875
Mr. Farred Chehab Emir,No,3,male,26,0,7.225
Mr. Charles Alexander Fortune,No,1,male,19,5,263
Miss. Ellen O'Dwyer,Yes,3,female,24,0,7.8792
Mr. Lalio Todoroff,No,3,male,23,0,7.8958
Don. Manuel E Uruchurtu,No,1,male,40,0,27.7208
Mrs. William Augustus (Marie Eugenie) Spencer,Yes,1,female,48,1,146.5208
Miss. Mary Agatha Glynn,Yes,3,female,18,0,7.75
Mr. Edward H Wheadon,No,2,male,66,0,10.5
Mr. Edgar Joseph Meyer,No,1,male,28,1,82.1708
Mr. Alexander Oskar Holverson,No,1,male,42,1,52
Mr. Hanna Mamee,Yes,3,male,18,0,7.2292
Mr. Ernest Charles Cann,No,3,male,21,0,8.05
Miss. Augusta Maria Vander Planke,No,3,female,18,2,18
Miss. Jamila Nicola-Yarred,Yes,3,female,14,1,11.2417
Mrs. Johan (Johanna Persdotter Larsson) Ahlin,No,3,female,40,1,9.475
Mrs. William John Robert (Dorothy Ann Wonnacott) Turpin,No,2,female,27,1,21
Miss. Simonne Marie Anne Andree Laroche,Yes,2,female,3,3,41.5792
Miss. Margaret Delia Devaney,Yes,3,female,19,0,7.8792
Mr. William John Rogers,No,3,male,30,0,8.05
Mr. Denis Lennon,No,3,male,20,1,15.5
Miss. Bridget O'Driscoll,Yes,3,female,27,0,7.75
Mr. Youssef Samaan,No,3,male,16,2,21.6792
Mrs. Josef (Josefine Franchi) Arnold-Franchi,No,3,female,18,1,17.8
Master. Juha Niilo Panula,No,3,male,7,5,39.6875
Mr. Richard Cater Nosworthy,No,3,male,21,0,7.8
Mrs. Henry Sleeper (Myna Haxtun) Harper,Yes,1,female,49,1,76.7292
Mrs. Lizzie (Elizabeth Anne Wilkinson) Faunthorpe,Yes,2,female,29,1,26
Mr. Engelhart Cornelius Ostby,No,1,male,65,1,61.9792
Mr. Hugh Woolner,Yes,1,male,46,0,35.5
Miss. Emily Rugg,Yes,2,female,21,0,10.5
Mr. Mansouer Novel,No,3,male,28.5,0,7.2292
Miss. Constance Mirium West,Yes,2,female,5,3,27.75
Master. William Frederick Goodwin,No,3,male,11,7,46.9
Mr. Orsen Sirayanian,No,3,male,22,0,7.2292
